Экспериментальные данные 
ПР 3-1

N         v1         v2

1         -9.56076006         -8.42646783
2         -10.425912         -9.42909941
3         -11.9050836         -12.3272467
4         -8.41800983         -12.7875653
5         -9.23181609         -11.3582387
6         -12.6431355         -8.73528997
7         -7.55829765         -10.5446308
8         -7.31560254         -15.2218057
9         -5.9368944         -10.1307133
10         -7.07553865         -10.7492993
11         -10.9985804         -12.2657493
12         -9.85743681         -10.1328984
13         -9.10748746         -10.3280297
14         -10.3583004         -8.51768402
15         -9.67387582         -11.3255332
16         -13.5077895         -8.62440834
17         -8.57927886         -11.4723136
18         -11.4220759         -8.54507621
19         -6.5379009         -9.53484016
20         -12.0648901         -8.69876783
21         -12.2030551         -8.82680571
22         -12.5607499         -11.3499773
23         -10.0914234         -11.21132
24         -10.1067605         -10.0630708
25         -10.2887972         -10.0973975
26         -9.10393803         -11.7116181
27         -9.39869939         -7.32467183
28         -11.4674947         -8.58709219
29         -8.95519969         -9.72620321
30         -16.9255577         -10.5426006
31         -10.2614182         -8.92251711
32         -6.51808613         -9.58357389
33         -10.7933089         -8.72315197
34         -10.096643         -7.53933126
35         -9.16290335         -12.4905905
36         -7.170598         -5.41821124
37         -11.0640694         -11.1076269
38         -8.79253719         -9.11439238
39         -7.80089426         -8.33378987
40         -8.96169833         -12.2238211
41         -13.3033904         -9.06085455
42         -9.24624143         -7.08261645
43         -12.1518246         -11.4481469
44         -8.54466013         -7.5139498
45         -10.20341         -15.2105306
46         -12.5221504         -9.35304553
47         -11.9087278         -14.7201303
48         -8.19471301         -12.3367044
49         -11.0938963         -10.015525
50         -12.5646417         -12.6441809
51         -11.5651865         -7.41263845
52         -5.83419225         -10.9594901
53         -10.1371387         -7.3788712
54         -10.1703119         -8.53709222
55         -7.00750147         -9.72197115
56         -8.29453659         -11.1042982
57         -9.53029069         -10.1905052
58         -8.48796535         -9.91276805
59         -10.8508649         -10.1734702
60         -8.64168318         -9.72298345
61         -12.1998163         -12.6288911
62         -10.933972         -5.64627609
63         -10.227848         -7.25958046
64         -9.8173422         -7.2223144
65         -13.0064418         -8.83338105
66         -8.33319382         -11.0398924
67         -10.5124803         -8.2301026
68         -8.74003627         -10.6688235
69         -8.36255865         -12.7264078
70         -11.5995544         -10.7751437
71         -9.18895576         -7.40117013
72         -8.65964102         -10.6038992
73         -10.4030101         -9.27342102
74         -8.05185489         -11.7524058
75         -10.8313147         -10.8926652
76         -8.04057599         -10.835273
77         -11.7621134         -10.7450655
78         -8.49946379         -8.3975272
79         -10.4004229         -12.5413907
80         -9.55463016         -7.66913756
81         -8.36149223         -7.99278732
82         -13.7857144         -10.5045703
83         -10.8139327         -11.340077
84         -14.9640682         -12.2648805
85         -10.7413331         -13.7205697
86         -10.7855752         -10.8855923
87         -11.0561057         -9.36976866
88         -11.2639784         -7.19238143
89         -9.34994331         -12.2778675
90         -8.98430023         -9.2314175
91         -6.89131841         -10.7167093
92         -9.29784512         -7.62169236
93         -8.83823421         -12.9718104
94         -9.10885422         -10.0871115
95         -7.93341114         -9.95962449
96         -11.8466487         -13.2866713
97         -9.93191615         -10.6430343
98         -9.30389007         -8.34522429
99         -10.7309643         -9.1676316
100         -9.51494035         -6.76137946
101         -14.7749383         -7.1339817
102         -11.6433501         -6.75340893
103         -7.29444661         -8.28452202
104         -10.988512         -8.62560846
105         -11.2157862         -10.1245941
106         -5.89155524         -10.1875443
107         -9.19033598         -6.38613561
108         -9.29266473         -11.8265191
109         -13.610776         -11.0281623
110         -9.78981187         -7.22495294
111         -6.59536314         -9.91397962
112         -11.5384774         -10.2031961
113         -9.92615229         -12.7315897
114         -9.43894641         -9.49435624
115         -9.70561075         -11.7773756
116         -11.2621852         -7.78527129
117         -7.65439464         -10.9643319
118         -10.7442356         -10.5518028
119         -7.1862456         -8.0760486
120         -14.0199551         -6.53169104
121         -10.1511869         -9.74399053
122         -11.9180968         -11.698578
123         -8.08784532         -10.7034043
124         -13.0304771         -10.7496417
125         -8.67859967         -6.46696248
126         -8.94091067         -6.59571239
127         -9.07478597         -7.18840438
128         -10.4561177         -9.19721153
129         -8.417117         -4.67177427
130         -13.442247         -9.97627002
131         -11.8253622         -10.5688379
132         -9.91281464         -8.71477623
133         -12.0477615         -9.80290413
134         -11.7696565         -13.4825661
135         -6.79248495         -11.9565178
136         -7.3364805         -9.92990754
137         -6.9449616         -13.0252283
138         -10.6694739         -9.61263205
139         -6.27182029         -8.12458125
